Periode,Kode Item,Nama Item,Satuan Standar,Aktual,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
2025-06,PO-8.7X13,Plastik Obat Ukuran 8.7x13,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.33333333333331,0.0,80.95238095238095,0.0,80.95238095238095,,
2025-06,POT-KS,Pot Tutup Kuning Sterile,PCS,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,1000.0,994.947181008902,100.0,99.4947181008902
2025-06,PRAZ30,PRAZOTEC INJ 30MG,VIAL,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,175.16666666666666,116.75,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,PSE,OXA PULSE OXYMETER ANAK,PCS,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,S,"3/0 27,75 BENANG SILK 3/0 27mm, 75cm",PCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SAU,STRIP ASAM URAT,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SCT,STRIP CHOLESTEROL,BOX,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,5.052818991097923,2.0,3.052818991097923,100.0,152.64094955489617
2025-06,SCTM,SUCTION CONNECTING TUBE MAS,PCS,500.0,0.0,0.0,200.0,0.0,0.0,66.66666666666667,200.0,0.0,33.333333333333336,16.666666666666668,66.66666666666667,5.052818991097923,433.3333333333333,494.9471810089021,86.66666666666666,98.9894362017804
2025-06,SGD,STRIP GULA DARAH,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SHB,STRIP HEMOGOBLIN (HB),BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SHM-005,SHAMROCK LATEX FREE POWDER ''L'',BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,8.333333333333334,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SHM-006,"SHAMROCK LATEX FREE POWDER ""M""",BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666666666666,20.83333333333333,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,SHM-007,SHAMROCK LATEX FREE POWDER ''S'',BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,UFIX5,ULTRAFIX MEDICAL 5X5,BOX,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,5.0,0.052818991097923096,100.0,1.056379821958462
2025-06,URS-10T,URINE STRIP 10U,BTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,1CC,SPUIT 1 CC,BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-07,2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
