Kode Item,Nama Item,Satuan,Jumlah,Total Item
ASTAB100,Aspilet Tab 100 mg,TAB,1000,980000.0
ASTAB80,ASPILET TAB 80 MG,BOX,25,2100000.0
ASWAG30,Ashwagandha+ 30 Kapsul,BTL,4,760000.0
ASWAG60,Ashwagandha+ 60 Kapsul,BTL,49,9800000.0
ATM,PF M ALTAMED GLOVE PF SIZE M,BOX,30,1491891.0
ATM,PF S ALTAMED GLOVE PF SIZE S,BOX,20,994594.0
ATM-RTA,ALTAMED COVID-19 RAPID TEST KIT ANTIGEN @25 PCS,BOX,108,42120000.0
ATRAX100-INJ,Asam Tranexamat 100mg/ml Inj,AMPUL,250,1216000.0
ATRAX250-INJ,Asam Tranexamat 250mg/ml Inj - Berno Berno,AMPUL,168,1276000.0
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,BOX,15,2424000.0
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,TAB,3050,5765000.0
ATROINJ,Atropin Inj,AMPUL,10,229000.0
ATRV20,Atorvastatin 20 mg Dexa,TAB,1000,980000.0
ATTAPULG,Attapulgite,TAB,500,483500.0
AU-GCU,Autocheck 3 in 1,UNIT,1,355000.0
AUTOSCOPE,AUTOSCOPE,UNIT,3,3743243.22
AXIOO,AXIOO MYBOOK PRO L1 (8N5) MYBOOK,UNIT,2,13693694.0
AZITY500,Azitromycin 500 mg,BOX,1,193556.0
AZITYS200,Azitromycin Syrup 200mg/5ml Bernofarm,BTL,15,441594.45
B-10,BISTURI NO 10 BBRAUN,BOX,10,3675000.0
BBB,BOX BAYI BESI,UNIT,10,11711711.7
BBN3375,"Benang Bedah Nylon ukuran 3/0, 30 mm, 75 cm",PCS,1,37500.0
BC,2 BED 2 CRANK MANUAL,UNIT,56,378378378.56
BC-02,BENANG CROMIC 2/0,PCS,36,2432448.0
BC105,BINDER CLIP 105,BOX,36,491688.0
BC107,BINDER CLIP 107,BOX,36,424800.0
BC111,BINDER CLIP 111,BOX,36,316800.0
BCM,3 BED 3 CRANK MANUAL,UNIT,5,40540540.55
BDC,BED DECUBITUS,UNIT,1,990990.99
BDH,SET BEDAH,SET,1,7207207.21
BE,BUKU EKSPEDISI,BUAH,5,170000.0
BESMG,Besanmag Tab,TAB,1000,1300000.0
BETHAS5-C,Betamethasone 5mg Cream - Berno,BOX,1,95700.0
BFB,BUKU FOLIO BESAR,BUAH,5,200000.0
BFK,BUKU FOLIO KECIL @100 LEMBAR,BUAH,10,260000.0
BIG,Gauze - Kasa Big Gauze X Ray 30 x 30 XR30,PAK,7,1155000.0
BIG,Gauze - Kasa Big Gauze X Ray 40 x 40 XR40,PAK,1,165000.0
BIOPLC-15,Bioplacenton 15 gr,TUBE,2,54054.06
BIPLS,Bioplasenton,BOX,3,93000.0
BISPRO2.5,Bisoprolol Tab 2.5mg Bernofarm,TAB,4100,2002440.0
BKT-38,BUKU TULIS IS 38 LEMBAR,PAK,2,120000.0
BLINK,500 PRO SARAMONIC BLINK 500 PRO X Q20 DUAL- X Q20 CHANNEL WIRELESS,UNIT,1,2300000.0
BMHP,Gaun Operasi Disposable,PCS,160,8800000.0
BNGMON-2,Benang Monosyn Uk 2,PCS,19,4750000.0
BNSN5,BENOSON N 5GR,TUBE,3,59459.46
BOK,BIAYA ONGKOS KIRIM,SET,4,15000000.0
BOPM,BED OPERASI MANUAL,UNIT,2,115315315.32
BPGA,Benang PGA T-Vio Polyglycolide Uk 2,PCS,76,3800000.0
BPGAPA,Benang PGA Polyglycolic Acid Uk 0,PCS,76,3800000.0
BPGB,BALLPOINT GEL INK BIRU,PAK,2,100000.0
BPMX,Ball Point Pen Maxxis,PAK,45,2208880.0
BPSJ-PSBP177,BALL PEN STAND JOYKO PSBP-177,BUAH,8,108800.0
BRAXD,Braxidine Tab,TAB,500,1000000.0
BS,120 DISPOSIBLE CUVETTES BS 120 (250 CUVETTE@5SEGMENT),BOX,1,3689189.18
BS,BLOOD SET,BOX,6,1540542.0
BSB,Bisturi Surgical Blades NO 20 Chrona,BOX,3,750000.0
BSC,BED SIDE CABINET,UNIT,61,87927927.84
BSF,Bantal Silicone Fina,BUAH,4,350000.0
BSTL-C11,BESTOOL TRIPOD BLUETOOTH SELFIE STICK REMOTE,UNIT,1,353333.0
BTD-5,Betadine 5ml,BTL,85,765000.0
BTFS-001,BLOOD TRANSFUSION SET,PCS,100,1711711.0
BTHS-6D,BETAHISTINE 6MG TAB DEXA,BOX,1,31531.53
BTHS6,Betahistine 6mg Tab,BOX,9,1522350.0
BTHS6,Betahistine 6mg Tab,TAB,1000,1610000.0
BVR-1,Benang Vicryl Uk 1,PCS,19,4275000.0
BYG-C,BAYGON COLOK,PCS,20,920000.0
BYG-S,BAYGON SPRAY 600 ML,PCS,10,440000.0
CAN-NEO,FISHER & PAYKEL HEALTHCARE Optiflow Junior Nasal Cannula - Neonatal,PCS,1,2533050.0
CANDS16,Candesartan 16mg Tab,BOX,30,5242500.0
CANDS16,Candesartan 16mg Tab,TAB,8000,4978080.0
CANDS8,Candesartan 8mg Tab,BOX,15,5239500.0
CANDS8,Candesartan 8mg Tab,TAB,7000,3410000.0
CAPT25,Captopril 25 mg Tab,BOX,1,27358.55
CAPT50,Captopril 50mg,TAB,500,476500.0
CARDI5,Cardisan 5mg Tablet,BOX,1,412500.0
CB10,CONTAINER BOX - CB10,BUAH,2,124000.0
CB60,CONTAINER BOX - CB 60,BUAH,1,220000.0
CCSYX,"REAGEN EIGHT CHECK CONTROL SYSMEX 3X1,5ML",BTL,1,1139639.63
CCTV6,CCTV 6 CHANNEL,UNIT,1,0.0
CDS,COLD STORAGE,UNIT,1,0.0
CEFADS250,Cefadroxil Monohydrate 250mg/5ml Sirup Kering Bernofarm,BTL,30,357081.0
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,19,2275344.14
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,TAB,2500,5183125.0
CEFIXDS-IFR,Cefixime Dry Syr - Ifars,BTL,56,1232500.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,AMPUL,100,2979800.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,BOX,50,6727500.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,AMPUL,100,2950000.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,BOX,100,16445000.0
CEFTX-INJ,Ceftizoxime Inj,VIAL,25,2587500.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,101,6195000.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,2100,2725275.0
CEFZN1-INJ,Cefazolin Inj 1gr,AMPUL,20,239200.0
CERV,CERNEVIT,AMPUL,10,2657657.6
CETI,Tab Cetirizine Tab,BOX,2,61074.0
CETI,Tab-E Cetirizine Tab Errita,BOX,120,759000.0
CF17A,TONER HP LASER JET 17A,BUAH,1,1711712.0
CF283A,TONER HP LASER JET 83A,BUAH,2,1714000.0
CG24,Cover Glass 24x44,BOX,2,3056000.0
CIFLX,Tab CIPROFLOXACIN TAB,BOX,15,867864.8500000001
CIFLX,Tab CIPROFLOXACIN TAB,TAB,1804,1254840.0
CILOST100,Cilostazole 100mg Tab Bernofarm,TAB,200,895850.0
CITCL1000,Citicoline 1000mg Tab Bernofarm,BOX,5,2184500.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,AMPUL,50,879500.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,BOX,15,1341000.0
CITCL500,Citicoline 500mg Tab Bernofarm,TAB,1200,3679998.0
CITJC,"CITOJECT SYRINGE 1,8ml",BOX,1,5675676.0
CLBTSOL10,CLOBETASOL PROPIONATE 10GR,TUBE,3,40540.53
CLINDYCM300,Clindamycin HCl 300 mg Kapsul - Mersi,TAB,1100,1140788.0
CLPG75,Clopidogrel 75mg Tab - Berno,TAB,10000,9580000.0
COMBANT50,Combantrin 125,BOX,10,5170000.0
COMJER,Combantrin Jeruk,BTL,10,286000.0
COTRMX-TABMER,Cotrimoxazole Tab (Mersi),TAB,652,521600.0
COUNTER15,COUNTERPAIN COOL 15 GR,PCS,20,604469.0
CPS-001,CELL PACK SYSMEX 20L,BTL,1,2188738.73
CRMD10%,Carmed 10%,TUBE,30,1140000.0
CRPL,CURRATAGE PLACENTA,SET,1,1801801.8
CRS,CURRATAGE SET,SET,2,3603603.6
CS,COTTON SWAB,PAK,3,4594594.59
CT,CORRECTION TAPE,BUAH,24,408000.0
CT004,CENTRIFUGE TUBE 15 ML,PAK,5,445945.9
CTR,COUTER DOCTANZ 80 WATT,UNIT,1,25855855.86
CUPB,Disposable Cup Blue @50 pcs (Gelas Kumur),PAK,40,800000.0
CVG-0045,COVER GLASS,BOX,6,146846.82
CVPLX-T,Caviplex Tab,BOX,10,851570.5
CVPLX-T,Caviplex Tab,TAB,1000,2355000.0
